"","403","灯笼","燈籠","dēng long","lantern",""
"","404","登陆","登陸","dēng lù","to land; come ashore; sign/log in",""
"","405","登录","登錄","dēng lù","sign-in",""
"","406","蹬","蹬","dēng","press down with the foot; step back or into something",""
"","407","等候","等候","děng hòu","wait; queue",""
"","408","等级","等級","děng jí","degree; rate",""
"","409","瞪","瞪","dèng","stare at; to glower",""
"","410","堤坝","堤壩","dī bà","dam; dyke",""
"","411","敌视","敵視","dí shì","be hostile; adopt a negative attitude towards",""
"","412","抵达","抵達","dǐ dá","arrive; to reach (a destination); touch down",""
"","413","抵抗","抵抗","dǐ kàng","resist; resistance",""
"","414","抵制","抵制","dǐ zhì","resistance; refusal (to cooperate); boycott",""
"","415","地步","地步","dì bù","condition; plight; extent",""
"","416","地势","地勢","dì shì","terrain; topography of a place",""
"","417","地质","地質","dì zhì","geology",""
"","418","递增","遞增","dì zēng","increase step by step; steadily increase",""
"","419","颠簸","顛簸","diān bǒ","shake; to jolt; bump",""
"","420","颠倒","顛倒","diān dǎo","turn upside down; upend",""
"","421","典礼","典禮","diǎn lǐ","celebration; ceremony",""
"","422","典型","典型","diǎn xíng","typical case; model",""
"","423","点缀","點綴","diǎn zhuì","decorate; an ornament; beautify; embellish; be the finishing touch",""
"","424","电源","電源","diàn yuán","electric power supply",""
"","425","垫","墊","diàn","cushion; to pad; pay for somebody and expect to be repaid",""
"","426","惦记","惦記","diàn jì","to remember with concern; to be concerned about; to think about; to keep thinking about; to worry about",""
"","427","奠定","奠定","diàn dìng","establish; to found; to settle",""
"","428","叼","叼","diāo","hold sth. in the mouth",""
"","429","雕刻","雕刻","diāo kè","carve; engrave; sculpt",""
"","430","雕塑","雕塑","diāo sù","sculpture; a statue; a Buddhist image",""
"","431","吊","吊","diào","hang; suspend",""
"","432","调动","調動","diào dòng","to transfer; to maneuver (troops, etc.)",""
"","433","跌","跌","diē","to fall down; to drop",""
"","434","丁","丁","dīng","male adult; robust; cubes (of food); T-shaped (4th Heavenly Stem)",""
"","435","叮嘱","叮囑","dīng zhǔ","urge again and again; exhort; repeatedly warn",""
"","436","盯","盯","dīng","to stare; to gaze",""
"","437","定期","定期","dìng qī","regularly; at regular intervals",""
"","438","定义","定義","dìng yì","definition",""
"","439","丢人","丟人","diū rén","lose face; be disgraced",""
"","440","丢三落四","丟三落四","diū sān là sì","forgetful; scatterbrained",""
"","441","东道主","東道主","dōng dào zhǔ","host for a party or conference",""
"","442","东张西望","東張西望","dōng zhāng xī wàng","look in all directions; glance around",""
"","443","董事长","董事長","dǒng shì zhǎng","chairman of the board",""
